,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Pennsylvania ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Sydney Stipanovich,40,10,17,.588,10,17,.588,0,0,,0,0,,0,2,2,0,0,2,0,4,20
1,Kasey Chambers,40,2,5,.400,0,1,.000,2,4,.500,2,2,1.000,4,2,6,3,1,0,3,2,8
2,Anna Ross,39,2,7,.286,1,3,.333,1,4,.250,3,4,.750,1,8,9,7,1,0,4,2,8
3,Beth Brzozowski,32,2,6,.333,0,1,.000,2,5,.400,0,0,,0,2,2,3,1,0,0,3,6
4,Michelle Nwokedi,28,5,12,.417,3,7,.429,2,5,.400,3,4,.750,1,6,7,4,0,2,3,4,15
6,Princess Aghayere,12,1,2,.500,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,1,1,2
7,Ashley Russell,9,1,4,.250,1,2,.500,0,2,.000,0,0,,1,1,2,0,0,0,0,2,2
8,Emily Anderson,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Jackie Falconer,0,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
10,School Totals,200,23,53,.434,16,33,.485,7,20,.350,8,10,.800,7,24,31,17,3,4,11,18,61
