,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Quinnipiac ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Adily Martucci,38,1,4,.250,1,3,.333,0,1,.000,0,0,,0,3,3,4,0,2,0,2,2
1,Aryn McClure,31,5,9,.556,5,9,.556,0,0,,1,2,.500,0,6,6,4,1,2,4,3,11
2,Jen Fay,24,9,16,.563,8,11,.727,1,5,.200,1,2,.500,0,2,2,1,4,0,2,3,20
3,Paula Strautmane,19,5,6,.833,5,6,.833,0,0,,5,6,.833,0,3,3,2,1,0,2,2,15
4,Edel Thornton,17,0,2,.000,0,1,.000,0,1,.000,1,2,.500,0,0,0,3,1,0,1,0,1
6,Carly Fabbri,27,3,6,.500,1,3,.333,2,3,.667,0,0,,0,1,1,1,0,0,1,1,8
7,Sarah Shewan,24,1,3,.333,1,2,.500,0,1,.000,1,2,.500,3,5,8,3,1,0,0,1,3
8,Morgan Manz,20,4,7,.571,4,5,.800,0,2,.000,0,0,,0,3,3,2,0,0,1,2,8
9,School Totals,200,28,53,.528,25,40,.625,3,13,.231,9,14,.643,3,23,26,20,8,4,11,14,68
