,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Quinnipiac ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Paula Strautmane,35,4,8,.500,3,6,.500,1,2,.500,2,2,1.000,2,9,11,7,2,1,3,3,11
1,Adily Martucci,30,3,8,.375,0,4,.000,3,4,.750,0,0,,0,1,1,2,0,0,2,4,9
2,Aryn McClure,27,5,8,.625,5,8,.625,0,0,,5,6,.833,1,3,4,3,0,1,5,4,15
3,Jen Fay,15,3,8,.375,2,5,.400,1,3,.333,2,4,.500,0,3,3,1,2,0,0,4,9
4,Edel Thornton,14,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,3,0,0,2,0,0
6,Carly Fabbri,31,3,8,.375,1,6,.167,2,2,1.000,0,0,,0,0,0,4,0,0,0,3,8
7,Morgan Manz,30,7,9,.778,1,1,1.000,6,8,.750,2,4,.500,1,4,5,3,1,1,1,2,22
8,Sarah Shewan,18,3,9,.333,1,3,.333,2,6,.333,3,4,.750,3,3,6,1,0,2,0,3,11
9,Vanessa Udoji,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0
10,School Totals,200,28,60,.467,13,34,.382,15,26,.577,14,20,.700,7,23,30,24,6,5,13,23,85
