,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Lindsey Cunningham,39,.653,.667,.889,.222,0.0,8.8,4.7,5.2,1.6,0.0,23.3,17.8,109,107,
1,Sophie Cunningham,39,.581,.429,.571,1.000,3.4,8.8,6.3,14.7,0.0,0.0,33.2,20.8,96,111,
2,Sierra Michaelis,30,.571,.571,.357,.000,17.8,19.0,18.5,18.2,0.0,0.0,17.6,30.5,114,105,
3,Cierra Porter,28,.550,.550,.200,.000,23.8,28.6,26.4,16.9,4.6,4.0,9.1,21.2,131,86,
4,Amber Smith,24,.392,.364,.091,.091,11.1,0.0,5.1,9.6,0.0,4.6,8.0,27.9,98,115,
6,Lianna Doty,20,,,,,0.0,5.7,3.1,0.0,0.0,0.0,100.0,2.7,0,113,
7,Jordan Chavis,8,.633,.500,1.000,.667,0.0,14.3,7.7,0.0,0.0,0.0,0.0,26.1,158,106,
8,Kayla Michael,7,.000,.000,1.000,.000,0.0,49.0,26.4,0.0,0.0,15.9,0.0,7.7,0,80,
9,Hannah Schuchts,5,,,,,0.0,0.0,0.0,33.3,0.0,44.4,,0.0,233,95,
10,School Totals,200,.544,.509,.436,.218,40.0,65.7,53.8,41.7,4.8,13.9,18.7,100.0,104.8,101.6,
