,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Connecticut ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Gabrielle Cooper,40,.563,.563,.875,.000,3.8,5.3,4.4,4.3,1.5,0.0,11.1,12.6,116,149,
1,Alexis Peterson,38,.545,.523,.273,.091,4.0,22.2,11.7,27.2,3.2,0.0,17.9,41.2,103,143,
2,Briana Day,37,.544,.545,.000,.182,20.8,5.7,14.4,0.0,3.3,0.0,0.0,18.0,131,145,
3,Brittney Sykes,36,.485,.467,.333,.067,0.0,11.7,4.9,5.7,0.0,0.0,11.5,27.2,96,151,
4,Isabella Slim,14,.000,.000,1.000,.000,0.0,30.1,12.7,11.0,0.0,0.0,0.0,4.0,58,148,
6,Bria Day,25,.500,.500,.000,.000,0.0,25.3,10.7,0.0,0.0,0.0,0.0,4.5,109,150,
7,Dez Elmore,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,153,
8,Davida Dale,3,,,,,0.0,0.0,0.0,51.3,0.0,0.0,100.0,18.7,44,153,
9,Julia Chandler,2,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,0,153,
10,Jade Phillips,1,,,,,0.0,100.0,88.9,0.0,0.0,0.0,,0.0,,128,
11,School Totals,200,.513,.500,.333,.083,26.9,73.7,46.7,30.8,7.6,0.0,12.6,100.0,97.0,142.4,
