,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Syracuse ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Gabrielle Cooper,40,3,8,.375,0,1,.000,3,7,.429,0,0,,1,1,2,1,1,0,1,0,9
1,Alexis Peterson,38,10,22,.455,7,16,.438,3,6,.500,2,2,1.000,1,4,5,4,2,0,5,0,25
2,Briana Day,37,6,11,.545,6,11,.545,0,0,,1,2,.500,5,1,6,0,2,0,0,2,13
3,Brittney Sykes,36,6,15,.400,4,10,.400,2,5,.400,1,1,1.000,0,2,2,1,0,0,2,4,15
4,Isabella Slim,14,0,1,.000,0,0,,0,1,.000,0,0,,0,2,2,1,0,0,0,5,0
6,Bria Day,25,1,2,.500,1,2,.500,0,0,,0,0,,0,3,3,0,0,0,0,4,2
7,Dez Elmore,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
8,Davida Dale,3,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0
9,Julia Chandler,2,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
10,Jade Phillips,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
11,School Totals,200,26,60,.433,18,40,.450,8,20,.400,4,5,.800,7,14,21,8,5,0,9,15,64
