,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Texas ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Brooke McCarty,37,4,14,.286,4,13,.308,0,1,.000,0,0,,2,4,6,7,2,0,2,3,8
1,Kelsey Lang,35,2,7,.286,2,7,.286,0,0,,0,2,.000,2,10,12,4,0,4,0,4,4
2,Ariel Atkins,33,6,14,.429,4,10,.400,2,4,.500,4,4,1.000,0,4,4,2,1,0,3,5,18
3,Joyner Holmes,28,5,13,.385,5,12,.417,0,1,.000,5,6,.833,1,6,7,1,0,1,3,3,15
4,Brianna Taylor,23,1,2,.500,1,2,.500,0,0,,0,0,,2,1,3,2,0,0,0,1,2
6,Audrey-Ann Caron-Goudreau,16,4,6,.667,4,5,.800,0,1,.000,0,0,,0,0,0,1,1,0,0,3,8
7,Sug Sutton,16,2,4,.500,0,0,,2,4,.500,0,0,,0,0,0,1,0,0,0,2,6
8,Lashann Higgs,12,2,5,.400,2,3,.667,0,2,.000,1,3,.333,0,0,0,1,0,0,1,3,5
9,School Totals,200,26,65,.400,22,52,.423,4,13,.308,10,15,.667,7,25,32,19,4,5,9,24,66
