,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Karlie Samuelson,40,.604,.636,.727,.273,0.0,15.2,7.1,25.0,0.0,0.0,0.0,14.3,139,96,
1,Erica McCall,39,.646,.643,.143,.571,16.6,18.6,17.6,19.5,1.4,2.0,14.6,24.4,125,90,
2,Brittany McPhee,33,.506,.389,.333,.667,0.0,18.4,8.7,17.0,0.0,2.3,20.5,20.6,96,93,
3,Briana Roberson,14,.508,.375,1.000,1.000,7.7,8.7,8.2,0.0,0.0,0.0,14.8,22.4,103,97,
4,Kaylee Johnson,8,.461,.500,.000,.750,27.0,15.2,21.4,0.0,0.0,0.0,27.3,42.5,75,96,
6,Alanna Smith,30,.386,.333,.250,.167,7.2,20.2,13.3,20.3,1.8,2.6,0.0,19.9,107,88,
7,Marta Sniezek,29,.101,.000,.250,.500,0.0,8.4,3.9,16.6,3.7,0.0,45.0,14.2,31,90,
8,DiJonai Carrington,5,1.500,1.500,1.000,.000,0.0,24.2,11.4,0.0,0.0,0.0,0.0,9.3,300,93,
9,Nadia Fingall,2,,,,,54.1,0.0,28.6,0.0,0.0,0.0,100.0,23.2,43,101,
10,Alexa Romano,0,1.053,,,,,,,,,,0.0,,,,
11,Shannon Coffee,0,,,,,,,,,,,,,,,
12,School Totals,200,.526,.483,.373,.508,32.4,78.8,54.3,68.0,5.3,5.8,16.0,100.0,102.7,88.0,
