,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Sydney Lamberty,34,.804,.778,.333,.222,0.0,18.6,11.6,18.6,3.4,0.0,23.3,20.4,129,74,
1,Lauren Works,29,.667,.667,.667,.000,0.0,10.9,6.8,18.9,2.0,0.0,14.3,13.0,134,79,
2,Marissa Janning,28,.635,.607,.429,.143,18.6,11.3,14.1,35.7,4.2,2.7,6.3,30.5,145,72,
3,Audrey Faber,26,.570,.417,.500,.667,0.0,8.1,5.0,0.0,0.0,3.0,0.0,16.1,138,82,
4,Brianna Rollerson,14,.424,.500,.000,1.000,12.4,22.6,18.7,14.1,0.0,16.5,25.8,29.8,78,66,
6,Jaylyn Agnew,27,.566,.571,.429,.286,12.9,15.6,14.6,13.7,0.0,0.0,20.2,19.7,111,81,
7,Bailey Norby,12,.565,.333,.333,1.000,14.5,35.1,27.3,14.7,0.0,0.0,0.0,19.4,153,73,
8,Kylie Brown,12,.667,.667,.000,.000,14.5,26.3,21.9,0.0,4.9,6.4,25.0,17.9,104,61,
9,Myah Mellman,12,.000,.000,1.000,.000,0.0,17.5,10.9,0.0,4.9,0.0,0.0,9.0,0,71,
10,Aimee Rischard,6,.256,.000,1.000,2.000,0.0,0.0,0.0,25.6,0.0,0.0,34.7,25.8,59,86,
11,School Totals,200,.594,.564,.418,.345,34.8,78.9,62.3,57.7,10.1,11.5,14.7,100.0,110.1,71.0,
