,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,UCLA ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Cecily Carl,39,.733,.733,.400,.000,0.0,30.2,15.5,6.9,3.2,2.3,6.3,22.0,135,102,
1,Maria Liddane,39,.481,.458,.333,.083,12.8,3.0,7.8,32.6,0.0,0.0,39.1,28.1,78,124,
2,Michael Harris,37,.580,.600,.000,.800,6.8,15.9,11.5,15.6,0.0,2.4,12.9,11.3,124,116,
3,Emily Kinneston,35,.100,.100,.200,.000,3.6,6.7,5.2,30.0,0.0,2.5,28.6,21.5,50,121,
4,Elina Koskimies,32,.722,.722,.667,.000,11.7,14.7,13.3,14.1,2.0,0.0,10.0,16.8,138,114,
6,Kaitlyn Lewis,12,.274,.300,1.000,.200,0.0,9.8,5.1,16.1,5.3,0.0,0.0,24.3,76,109,
7,Kaitlyn Marenyi,5,.000,,,,25.0,0.0,12.1,0.0,0.0,0.0,0.0,9.4,42,126,
8,TaeKenya Cleveland,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,126,
9,School Totals,200,.502,.509,.411,.143,34.4,67.6,51.5,79.2,6.3,6.7,20.1,100.0,95.2,112.7,
