,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Duke ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Darby Maggard,40,.500,.500,.917,.000,0.0,9.7,4.9,5.9,0.0,0.0,0.0,16.3,121,121,
1,Kylee Smith,39,.719,.708,.417,.333,3.4,19.9,11.8,37.1,1.6,0.0,30.4,27.6,111,113,
2,Jenny Roy,34,.101,.000,.000,.500,19.6,11.4,15.4,22.4,0.0,0.0,38.1,12.6,66,119,
3,Sally McCabe,30,.504,.542,.167,.333,4.4,4.3,4.4,10.3,2.1,13.0,6.8,26.8,105,111,
4,Sierra Jones,12,.000,.000,.000,.000,33.3,10.8,21.9,15.9,0.0,0.0,80.0,22.7,32,119,
6,Maura Muensterman,25,.214,.214,.857,.000,0.0,5.2,2.6,8.2,0.0,0.0,0.0,15.3,68,122,
7,Ellie Harmeyer,19,.667,.667,.667,.000,7.0,40.7,24.2,0.0,0.0,0.0,14.3,20.1,116,107,
8,Maddie Wright,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,125,
9,School Totals,200,.494,.491,.519,.185,36.7,67.7,52.5,61.9,3.1,9.8,20.3,100.0,89.2,110.8,
