,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jazmine Jones,28,.719,.833,.000,.333,13.4,9.3,11.0,12.5,1.9,0.0,36.8,18.0,92,62,
1,AD Durr,26,.311,.286,.286,.071,0.0,10.0,5.9,19.4,4.1,0.0,6.5,27.5,79,57,
2,Arica Carter,24,.500,.500,.250,.000,0.0,7.2,4.3,43.8,2.2,0.0,33.3,11.6,102,62,
3,Sam Fuehring,23,.791,.833,.000,1.000,21.7,26.5,24.5,8.2,0.0,6.0,18.8,21.4,136,55,
4,Myisha Hines-Allen,17,.286,.286,.000,.000,22.1,56.3,42.2,9.3,6.2,8.1,22.2,24.5,69,26,
6,Dana Evans,23,.413,.375,.000,.125,0.0,3.8,2.2,14.0,2.3,0.0,19.2,21.0,81,63,
7,Kylee Shook,21,.782,.750,.250,.250,0.0,41.4,24.4,0.0,0.0,6.6,0.0,19.6,164,48,
8,Bionca Dunham,20,.678,.600,.000,1.000,6.3,4.3,5.1,8.3,2.6,0.0,29.4,23.6,104,63,
9,Sydney Zambrotta,11,.250,.250,.750,.000,0.0,7.9,4.7,13.8,0.0,0.0,0.0,16.8,74,66,
10,Jessica Laemmle,7,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6.6,0,70,
11,School Totals,200,.528,.500,.161,.274,34.4,84.8,64.1,60.0,10.5,10.3,19.5,100.0,97.4,55.3,
