,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Buffalo ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Stephanie Reid,39,7,16,.438,6,14,.429,1,2,.500,4,4,1.000,3,1,4,8,2,0,3,3,19
1,Cierra Dillard,38,11,18,.611,4,5,.800,7,13,.538,7,8,.875,1,5,6,2,1,0,3,0,36
2,Katherine Ups,33,2,3,.667,1,1,1.000,1,2,.500,3,3,1.000,5,2,7,5,1,0,1,2,8
3,Summer Hemphill,20,2,3,.667,2,3,.667,0,0,,4,4,1.000,0,5,5,1,1,2,2,4,8
4,Cassie Oursler,17,3,8,.375,3,8,.375,0,0,,0,0,,0,3,3,0,0,1,2,2,6
6,Courtney Wilkins,27,7,10,.700,2,2,1.000,5,8,.625,4,4,1.000,1,2,3,1,1,1,1,0,23
7,Autumn Jones,12,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0
8,Mariah Suchan,8,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0
9,Brittany Morrison,3,0,1,.000,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0
10,Liisa Ups,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Theresa Onwuka,1,1,1,1.000,1,1,1.000,0,0,,0,1,.000,0,0,0,0,0,0,0,0,2
12,School Totals,200,33,62,.532,19,35,.543,14,27,.519,22,24,.917,11,19,30,17,6,4,12,13,102
