,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Laura Ferreira,40,.303,.250,.750,.500,0.0,3.6,1.8,9.7,2.7,0.0,38.1,9.5,62,142,
1,Kitija Laksa,39,.596,.587,.522,.043,0.0,7.3,3.6,9.9,0.0,0.0,11.3,32.7,119,147,
2,Maria Jespersen,39,.610,.531,.250,.375,17.7,22.0,19.8,4.3,0.0,0.0,9.7,25.5,133,142,
3,Laia Flores,38,.500,.500,.333,.000,0.0,11.3,5.5,11.4,2.9,0.0,30.8,16.5,84,139,
4,Alyssa Rader,12,.500,.500,.000,.000,11.5,11.9,11.7,0.0,0.0,0.0,50.0,16.1,60,146,
6,Tamara Henshaw,25,.857,.857,.000,.000,16.6,22.9,19.6,14.3,0.0,0.0,12.5,15.4,161,142,
7,Shae Leverett,4,1.000,1.000,.000,.000,34.5,0.0,17.5,0.0,0.0,0.0,50.0,24.1,101,150,
8,Vanessa Blagmon,2,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,0,150,
9,Alba Prieto,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,150,
10,School Totals,200,.587,.563,.365,.143,34.5,60.7,47.4,34.4,5.4,0.0,19.2,100.0,106.8,137.8,
