,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kelsey Mitchell,38,.475,.483,.552,.034,2.4,0.0,1.4,18.1,2.8,0.0,3.3,35.1,108,137,
1,Sierra Calhoun,33,.450,.450,.800,.000,2.8,12.1,6.6,9.6,0.0,0.0,16.7,16.0,92,139,
2,Linnae Harper,29,.613,.550,.200,.300,3.2,23.0,11.3,31.2,3.6,0.0,15.0,20.2,127,125,
3,Stephanie Mavunga,28,.576,.583,.000,.333,29.9,28.6,29.4,0.0,3.7,12.2,17.9,26.3,112,117,
4,Alexa Hart,25,.000,.000,.000,.000,0.0,16.0,6.6,0.0,0.0,9.1,25.0,7.0,0,134,
6,Asia Doss,24,.580,.500,.200,.800,0.0,0.0,0.0,6.5,4.4,0.0,0.0,12.4,138,133,
7,Makayla Waterman,17,.169,.000,.500,1.000,10.9,15.7,12.9,16.2,3.1,0.0,51.0,15.2,49,130,
8,Jensen Caretti,6,.500,.500,.500,.000,0.0,0.0,0.0,29.9,0.0,0.0,0.0,14.6,128,145,
9,Savitha Jayaraman,0,,,,,,,,,,,,,,,
10,Karlie Cronin,0,,,,,,,,,,,,,,,
11,School Totals,200,.490,.473,.397,.192,32.6,63.3,45.2,48.3,11.8,14.3,13.1,100.0,102.6,125.0,
