,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Connecticut ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Lexie Brown,39,.455,.455,.545,.000,0.0,3.4,1.6,21.7,10.5,0.0,21.4,19.3,82,99,
1,Leaonna Odom,36,.554,.529,.000,.353,6.7,22.2,14.1,34.2,1.6,0.0,4.8,30.8,120,110,
2,Erin Mathias,35,.334,.300,.000,.100,13.9,15.2,14.5,5.8,1.7,2.8,0.0,16.0,93,113,
3,Rebecca Greenwell,30,.500,.500,.500,.000,4.0,17.8,10.6,0.0,3.9,0.0,40.0,17.9,60,107,
4,Faith Suggs,28,.000,.000,.750,.000,0.0,4.8,2.3,6.2,0.0,0.0,0.0,7.7,15,123,
6,Jayda Adams,22,.360,.250,.667,.333,0.0,18.2,8.7,17.2,0.0,0.0,12.7,19.3,80,116,
7,Jade Williams,5,.639,.600,.000,.200,0.0,0.0,0.0,0.0,0.0,19.5,15.5,69.2,114,108,
8,Sofia Roma,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,119,
9,Bego Faz Davalos,2,1.000,1.000,.000,.000,60.6,0.0,31.7,0.0,0.0,0.0,0.0,26.9,207,125,
10,School Totals,200,.456,.425,.267,.167,24.2,63.3,42.9,52.2,16.2,4.9,13.4,100.0,86.8,105.9,
