,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Georgia ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Lexie Brown,37,.543,.500,.364,.364,0.0,6.6,4.5,33.1,10.4,2.1,28.2,24.7,96,47,
1,Leaonna Odom,35,.618,.583,.000,.167,0.0,16.3,11.1,6.7,0.0,2.2,18.9,23.4,105,60,
2,Erin Mathias,31,.707,.625,.000,.500,16.8,13.2,14.3,7.0,1.8,2.5,9.3,17.9,145,59,
3,Rebecca Greenwell,31,.692,.643,.429,.286,5.6,21.1,16.1,6.5,1.8,0.0,27.6,18.1,107,54,
4,Faith Suggs,26,.467,.500,.400,.600,0.0,12.6,8.5,0.0,4.2,0.0,13.7,14.5,86,56,
6,Jayda Adams,18,.500,.500,.667,.000,0.0,0.0,0.0,9.8,0.0,0.0,50.0,17.2,56,75,
7,Jade Williams,9,.000,.000,.000,.000,0.0,9.1,6.2,0.0,0.0,0.0,66.7,17.2,0,67,
8,Bego Faz Davalos,7,1.000,1.000,.000,.000,24.8,35.0,31.7,0.0,0.0,0.0,75.0,29.5,50,45,
9,Madison Treece,3,.000,.000,.000,.000,0.0,27.2,18.5,0.0,0.0,0.0,0.0,17.2,0,52,
10,Sofia Roma,2,.000,.000,.000,.000,87.0,0.0,27.8,0.0,0.0,0.0,0.0,25.8,57,76,
11,Emily Schubert,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,76,
12,School Totals,200,.578,.540,.220,.300,26.1,65.3,52.8,40.0,15.1,5.9,26.9,100.0,90.4,54.8,
