,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Georgia ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Caliya Robinson,34,5,10,.500,5,10,.500,0,0,,1,2,.500,4,8,12,3,3,3,2,1,11
1,Haley Clark,29,1,5,.200,1,5,.200,0,0,,0,0,,1,2,3,2,3,0,1,3,2
2,Que Morrison,28,2,9,.222,2,8,.250,0,1,.000,1,2,.500,1,3,4,2,1,2,2,1,5
3,Mackenzie Engram,22,2,13,.154,2,10,.200,0,3,.000,1,4,.250,6,0,6,0,1,1,2,4,5
4,Taja Cole,20,1,7,.143,1,5,.200,0,2,.000,0,0,,0,0,0,0,0,0,4,3,2
6,Gabby Connally,23,2,9,.222,2,3,.667,0,6,.000,1,2,.500,0,0,0,0,2,0,2,1,5
7,Malury Bates,15,1,4,.250,1,4,.250,0,0,,3,4,.750,3,3,6,0,0,1,0,1,5
8,Maya Caldwell,11,1,6,.167,1,4,.250,0,2,.000,0,0,,2,0,2,0,0,0,1,0,2
9,Simone Costa,10,1,4,.250,0,1,.000,1,3,.333,0,0,,0,1,1,1,0,0,1,0,3
10,Stephanie Paul,7,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0
11,Bianca Blanaru,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
12,School Totals,200,16,68,.235,15,51,.294,1,17,.059,7,14,.500,17,17,34,8,10,7,16,15,40
