,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,NC State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Shay Burnett,33,.548,.550,.400,.200,0.0,24.2,10.2,67.8,1.8,0.0,21.6,22.4,90,94,
1,Lexi Mercer,26,.500,.500,.667,.000,0.0,0.0,0.0,0.0,2.3,0.0,0.0,6.2,96,100,
2,Saadia Munford,24,.252,.200,.400,.400,0.0,5.6,2.3,32.3,5.0,0.0,33.8,19.7,42,92,
3,Meme Garner,19,.375,.375,.750,.000,0.0,7.0,3.0,21.3,0.0,0.0,20.0,14.0,64,102,
4,Malaya Johnson,14,.091,.100,.000,.200,7.0,19.0,12.1,0.0,0.0,0.0,0.0,41.4,23,98,
6,Ra'Shika White,21,.279,.250,.000,.250,9.3,19.0,13.4,0.0,5.7,16.3,25.3,30.2,46,76,
7,Jada Graves,19,.072,.000,.600,.800,0.0,21.1,8.9,17.5,0.0,0.0,12.9,21.8,19,99,
8,Jaylin Powell,17,1.000,1.000,.000,.000,0.0,15.7,6.6,0.0,0.0,0.0,75.0,12.5,32,101,
9,Emily Maupin,9,.339,.500,.000,1.000,43.4,14.8,31.3,0.0,0.0,0.0,25.8,23.0,66,101,
10,Anna Popovic,9,.513,.000,1.000,2.000,0.0,29.6,12.5,0.0,6.6,0.0,51.5,23.0,53,81,
11,Ariel Colon,9,.000,.000,.500,.000,0.0,29.6,12.5,0.0,0.0,0.0,0.0,11.8,0,97,
12,School Totals,200,.299,.284,.314,.314,17.1,76.7,42.3,66.7,10.4,8.6,22.5,100.0,52.2,92.5,
