,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Missouri ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Taylor Gradinjan,31,.306,.333,.333,1.333,4.0,9.2,6.5,0.0,0.0,0.0,38.7,13.1,47,105,
1,Nasrin Ulel,28,.652,.800,.200,.800,0.0,25.5,11.9,0.0,2.0,0.0,12.9,14.5,107,96,
2,Tytionia Adderly,28,.588,.500,.200,.400,13.4,30.6,21.4,12.9,0.0,0.0,14.5,12.9,129,99,
3,Rosemarie Julien,22,.643,.583,.333,1.167,0.0,6.5,3.0,9.3,0.0,0.0,0.0,21.6,140,106,
4,Erica Nelson,21,.502,.450,.300,.200,0.0,0.0,0.0,43.8,2.6,0.0,0.0,27.2,119,102,
6,China Dow,30,.560,.500,.429,.714,0.0,14.3,6.7,7.8,1.8,0.0,5.2,33.9,112,99,
7,Lisa Zderadicka,27,.515,.333,.000,2.667,0.0,21.2,9.9,18.9,4.1,0.0,31.5,18.5,89,92,
8,Jessica Cattani,13,1.000,1.000,.600,.000,9.6,0.0,5.1,24.2,0.0,0.0,0.0,20.2,193,108,
9,Alyssa Blair,0,,,,,,,,,,,,,,,
10,Chandler Ryan,0,,,,,,,,,,,,,,,
11,School Totals,200,.583,.559,.333,.725,15.6,75.0,43.3,48.0,6.8,0.0,11.6,100.0,109.6,95.9,
