,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Ohio State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Brianna Cummings,36,.541,.500,.000,.167,5.4,12.3,8.2,9.8,4.6,2.5,18.9,22.4,91,118,
1,Mei-Lyn Bautista,35,.250,.250,.667,.000,2.8,0.0,1.7,13.6,3.2,0.0,40.0,14.5,39,126,
2,Neila Luma,34,.377,.357,.000,.286,5.7,21.8,12.1,0.0,0.0,0.0,6.0,25.1,76,126,
3,Camila Tapias,30,.188,.188,.875,.000,0.0,9.9,3.9,8.0,1.8,0.0,0.0,13.6,44,126,
4,Kelsi Mahoney,29,.188,.188,.875,.000,0.0,5.1,2.0,0.0,3.8,0.0,0.0,14.0,40,122,
6,Kelli Prange,14,.333,.333,.333,.000,0.0,21.2,8.4,0.0,3.9,0.0,7.7,47.2,60,117,
7,Chyna Latimer,12,.200,.200,.000,.000,0.0,24.7,9.8,68.2,0.0,0.0,16.7,25.4,51,125,
8,Lexus Levy,8,.000,.000,1.000,.000,12.2,18.5,14.7,27.8,0.0,0.0,0.0,6.4,62,127,
9,Taylor Campbell,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,133,
10,School Totals,200,.327,.311,.348,.091,14.6,59.3,32.4,44.4,12.5,2.2,12.7,100.0,62.5,120.8,
