,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Stanford ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jill Barta,36,.623,.536,.357,.429,4.3,12.3,8.4,6.8,1.5,0.0,10.7,26.4,121,118,
1,Emma Stach,30,.503,.429,.714,.286,0.0,9.9,5.0,0.0,3.6,0.0,20.2,16.8,84,115,
2,Laura Stockton,28,.747,.714,.143,.714,0.0,5.3,2.7,36.0,1.9,0.0,17.9,20.4,135,119,
3,Chandler Smith,27,.314,.286,.286,.286,5.7,5.5,5.6,0.0,6.0,0.0,33.7,22.5,48,111,
4,Zykera Rice,21,.333,.333,.000,.000,0.0,14.1,7.2,9.0,2.6,0.0,0.0,7.3,85,114,
6,Jessie Loera,26,.603,.556,.333,.222,5.9,5.7,5.8,20.1,2.1,0.0,16.8,23.3,111,119,
7,Jenn Wirth,16,.606,.500,.000,.500,9.6,18.5,14.2,0.0,3.4,0.0,17.0,18.8,111,111,
8,Jill Townsend,7,.000,.000,.333,.000,22.0,21.2,21.6,0.0,0.0,15.4,25.0,29.2,17,112,
9,LeeAnne Wirth,6,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0,127,
10,Katie Campbell,3,,,,,0.0,98.8,50.3,0.0,0.0,0.0,,0.0,,90,
11,School Totals,200,.523,.455,.304,.339,19.2,55.6,37.7,34.8,13.5,2.7,17.7,100.0,91.9,110.8,
