,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Baylor ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Lauren Cox,33,11,18,.611,10,16,.625,1,2,.500,7,8,.875,11,6,17,5,0,2,0,0,30
1,Juicy Landrum,30,3,7,.429,1,2,.500,2,5,.400,0,0,,0,6,6,4,2,3,2,4,8
2,Alexis Morris,29,5,7,.714,3,5,.600,2,2,1.000,0,0,,0,5,5,5,0,0,3,1,12
3,Dekeiya Cohen,28,6,13,.462,6,13,.462,0,0,,5,8,.625,4,5,9,3,2,0,2,2,17
4,Kalani Brown,27,9,14,.643,9,14,.643,0,0,,4,4,1.000,5,10,15,0,0,5,1,1,22
6,DiDi Richards,21,3,4,.750,3,4,.750,0,0,,0,2,.000,2,1,3,2,3,1,5,2,6
7,Moon Ursin,15,0,4,.000,0,3,.000,0,1,.000,1,2,.500,1,2,3,0,3,0,0,0,1
8,Natalie Chou,15,0,4,.000,0,1,.000,0,3,.000,0,0,,0,1,1,2,0,0,0,1,0
9,Michelle Kahue,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Darryln McDonough,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,School Totals,200,37,71,.521,32,58,.552,5,13,.385,17,24,.708,23,36,59,21,10,11,13,11,96
