,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Florida State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Imani Wright,27,3,6,.500,3,4,.750,0,2,.000,3,3,1.000,0,2,2,1,0,1,0,0,9
1,Ama Degbeon,27,1,2,.500,1,2,.500,0,0,,0,0,,2,3,5,2,0,0,0,1,2
2,Chatrice White,23,5,8,.625,5,8,.625,0,0,,3,6,.500,3,7,10,0,2,1,2,3,13
3,AJ Alix,23,5,7,.714,4,5,.800,1,2,.500,1,1,1.000,2,3,5,5,2,0,2,3,12
4,Shakayla Thomas,19,11,15,.733,11,14,.786,0,1,.000,4,11,.364,0,4,4,0,3,0,1,1,26
6,Nicki Ekhomu,31,3,8,.375,2,7,.286,1,1,1.000,6,6,1.000,1,4,5,2,1,0,2,1,13
7,Nausia Woolfolk,27,4,7,.571,4,6,.667,0,1,.000,0,0,,5,3,8,2,1,0,2,2,8
8,Iho Lopez,12,1,3,.333,1,3,.333,0,0,,1,2,.500,1,1,2,0,0,0,1,2,3
9,Savannah Wilkinson,11,2,4,.500,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,1,1,5
10,School Totals,200,35,60,.583,32,51,.627,3,9,.333,18,29,.621,14,27,41,12,9,2,11,14,91
