,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Mississippi State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Teaira McCowan,45,7,12,.583,7,12,.583,0,0,,7,9,.778,13,12,25,2,0,3,5,1,21
1,Morgan William,38,2,8,.250,1,5,.200,1,3,.333,5,6,.833,1,1,2,4,1,1,3,1,10
2,Victoria Vivians,33,11,21,.524,9,16,.563,2,5,.400,1,3,.333,0,4,4,1,0,0,3,5,25
3,Roshunda Johnson,30,2,6,.333,1,3,.333,1,3,.333,2,2,1.000,1,1,2,0,0,0,2,2,7
4,Blair Schaefer,30,0,3,.000,0,1,.000,0,2,.000,0,0,,0,3,3,0,0,0,0,2,0
6,Jordan Danberry,26,3,6,.500,3,6,.500,0,0,,4,5,.800,0,4,4,1,3,0,2,3,10
7,Chloe Bibby,16,0,5,.000,0,3,.000,0,2,.000,0,0,,0,2,2,0,0,0,0,0,0
8,Jazzmun Holmes,7,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0
9,Zion Campbell,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,School Totals,225,25,62,.403,21,47,.447,4,15,.267,19,25,.760,15,27,42,9,4,4,15,14,73
