,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Louisville ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Natisha Hiedeman,36,.346,.346,.385,.000,2.5,18.5,8.2,14.2,3.1,0.0,7.1,18.9,82,124,
1,Allazia Blockton,35,.646,.630,.304,.304,5.2,19.0,10.1,43.5,1.6,0.0,3.7,37.5,136,127,
2,Danielle King,34,.200,.208,.583,.083,0.0,4.9,1.7,9.2,0.0,0.0,13.9,20.6,45,133,
3,Erika Davenport,28,.553,.556,.000,.222,19.5,17.9,18.9,6.8,4.0,0.0,0.0,17.1,135,122,
4,Amani Wilborn,25,.474,.333,.000,2.333,3.6,6.7,4.7,24.2,0.0,0.0,24.8,15.7,97,133,
6,Selena Lott,21,.625,.625,.500,.000,0.0,7.9,2.8,0.0,2.7,3.8,0.0,9.2,127,125,
7,Lauren Van Kleunen,14,.250,.250,.250,.000,6.5,0.0,4.2,0.0,4.0,0.0,20.0,17.3,53,126,
8,Shantelle Valentine,6,,,,,15.2,0.0,9.8,0.0,0.0,0.0,,0.0,214,135,
9,Isabelle Spingola,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,134,
10,School Totals,200,.473,.456,.324,.250,27.3,58.3,38.2,53.6,9.9,2.0,8.4,100.0,101.4,126.8,
