,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Caliya Robinson,34,.660,.625,.063,.188,7.8,35.8,24.8,38.5,1.7,4.4,10.4,28.7,131,74,
1,Mackenzie Engram,33,.665,.583,.000,.667,8.1,21.1,15.9,31.3,0.0,0.0,20.5,29.9,119,91,
2,Que Morrison,33,.562,.429,.000,.571,24.2,7.9,14.4,23.8,0.0,0.0,18.6,16.5,125,100,
3,Haley Clark,32,.400,.400,.000,.000,8.3,2.7,4.9,11.6,0.0,0.0,0.0,7.9,118,104,
4,Taja Cole,17,.336,.200,.000,.400,0.0,5.1,3.1,10.9,0.0,0.0,25.4,23.4,66,102,
6,Gabby Connally,28,.339,.250,.333,1.000,0.0,0.0,0.0,19.0,4.1,0.0,10.4,17.4,87,97,
7,Stephanie Paul,8,.000,.000,.000,.000,0.0,43.5,26.3,0.0,0.0,0.0,0.0,12.6,0,74,
8,Maya Caldwell,7,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.4,0,106,
9,Simone Costa,5,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.1,0,106,
10,Malury Bates,3,,,,,0.0,0.0,0.0,0.0,19.3,0.0,100.0,33.7,0,64,
11,School Totals,200,.532,.462,.057,.434,40.0,67.4,56.6,75.0,5.8,3.8,20.0,100.0,98.6,91.3,
