,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Oregon ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Maite Cazorla,33,3,9,.333,2,7,.286,1,2,.500,0,0,,0,5,5,6,0,0,2,0,7
1,Sabrina Ionescu,29,10,14,.714,6,8,.750,4,6,.667,5,7,.714,2,5,7,9,3,0,3,1,29
2,Lexi Bando,28,4,9,.444,1,1,1.000,3,8,.375,0,0,,0,1,1,2,1,0,1,2,11
3,Ruthy Hebard,27,11,14,.786,11,14,.786,0,0,,0,2,.000,2,8,10,1,1,4,0,1,22
4,Satou Sabally,25,4,6,.667,2,2,1.000,2,4,.500,2,2,1.000,1,5,6,3,2,1,1,2,12
6,Justine Hall,12,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,1,0,1,0,0,0
7,Anneli Maley,11,3,4,.750,2,3,.667,1,1,1.000,0,0,,2,1,3,1,0,0,0,1,7
8,Mallory McGwire,10,0,0,,0,0,,0,0,,2,2,1.000,1,3,4,0,0,0,2,1,2
9,Aina Ayuso,10,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,2,0,0,0,1,0
10,Oti Gildon,9,2,2,1.000,2,2,1.000,0,0,,2,2,1.000,1,0,1,2,0,0,1,0,6
11,Sierra Campisano,6,2,4,.500,2,4,.500,0,0,,1,2,.500,0,1,1,0,0,0,1,1,5
12,School Totals,200,39,64,.609,28,42,.667,11,22,.500,12,17,.706,9,30,39,27,7,6,11,10,101
