,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Oklahoma State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Loryn Goodwin,38,7,16,.438,5,13,.385,2,3,.667,3,3,1.000,0,5,5,8,5,0,2,2,19
1,Jaden Hobbs,37,8,9,.889,0,0,,8,9,.889,3,4,.750,0,3,3,1,0,0,2,0,27
2,Kaylee Jensen,34,8,15,.533,8,15,.533,0,0,,3,5,.600,7,5,12,1,2,1,1,2,19
3,Mandy Coleman,32,2,8,.250,2,6,.333,0,2,.000,2,2,1.000,1,2,3,2,0,0,5,2,6
4,Braxtin Miller,29,2,8,.250,1,4,.250,1,4,.250,2,4,.500,1,4,5,3,0,0,2,3,7
6,Maria Castro,12,2,5,.400,0,0,,2,5,.400,0,0,,1,2,3,2,1,0,0,0,6
7,LaTashia Jones,12,0,1,.000,0,1,.000,0,0,,0,0,,2,7,9,1,0,0,0,1,0
8,Karli Wheeler,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Jentry Holt,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Abbie Winchester,1,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,0,0
11,School Totals,200,29,62,.468,16,39,.410,13,23,.565,13,18,.722,13,28,41,18,8,1,13,10,84
