,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Rennia Davis,40,.293,.227,.455,.182,9.3,26.9,15.9,0.0,0.0,0.0,0.0,14.2,87,108,
1,Mercedes Russell,38,.514,.526,.000,.158,12.2,36.4,21.4,7.8,6.4,3.9,9.0,28.2,107,89,
2,Jaime Nared,36,.301,.286,.429,.143,5.2,8.5,6.4,26.9,0.0,0.0,6.3,21.2,85,112,
3,Meme Jackson,34,.333,.333,.667,.000,5.5,4.5,5.1,0.0,1.8,0.0,14.3,19.7,71,109,
4,Evina Westbrook,23,.286,.286,.143,.000,4.0,6.7,5.0,25.4,5.3,0.0,0.0,14.6,91,100,
6,Anastasia Hayes,19,.531,.500,.250,.375,4.9,0.0,3.1,54.1,3.2,0.0,17.7,28.6,106,107,
7,Cheridene Green,8,,,,,11.6,0.0,7.2,0.0,0.0,0.0,100.0,6.0,28,114,
8,Kortney Dunbar,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,115,
9,School Totals,200,.389,.373,.310,.141,37.2,76.9,52.2,54.2,12.1,3.7,9.6,100.0,89.4,100.0,
