,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kaila Charles,34,.560,.533,.000,.400,3.9,14.7,9.5,6.3,1.7,0.0,10.2,27.5,115,88,
1,Kristen Confroy,34,.639,.650,.500,.200,3.9,7.4,5.7,0.0,5.1,0.0,8.4,16.7,128,82,
2,Eleanna Christinaki,32,.571,.571,.357,.000,8.3,23.4,16.1,13.0,0.0,0.0,6.7,22.3,127,89,
3,Channise Lewis,23,.800,.800,.800,.000,0.0,5.4,2.8,45.8,5.0,0.0,37.5,16.6,119,83,
4,Stephanie Jones,19,.303,.250,.000,.500,21.1,13.2,17.0,16.3,0.0,0.0,0.0,12.2,117,92,
6,Brianna Fraser,24,.333,.333,.000,.000,22.2,36.5,29.6,13.5,0.0,0.0,45.5,21.8,62,84,
7,Ieshia Small,19,.508,.250,.000,1.000,0.0,13.2,6.8,16.3,0.0,0.0,25.8,19.5,100,92,
8,Sarah Myers,14,.769,.500,.000,2.000,9.5,8.9,9.2,11.4,4.1,0.0,34.7,19.6,119,84,
9,Aja Ellison,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,97,
10,School Totals,200,.562,.525,.233,.300,40.0,78.1,59.7,57.1,10.1,0.0,18.9,100.0,111.6,82.6,
