,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Mississippi State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Monique Billings,39,.354,.313,.000,.125,8.5,11.4,9.8,10.3,0.0,2.3,15.1,24.0,77,133,
1,Kennedy Burke,37,.759,.750,.333,.667,9.0,0.0,5.1,0.0,0.0,2.4,20.5,12.4,129,137,
2,Jordin Canada,36,.485,.361,.278,.667,3.1,28.8,14.1,30.3,4.6,2.5,4.1,31.8,115,115,
3,Lajahna Drummer,25,.250,.250,.250,.000,4.4,17.8,10.2,6.8,2.2,0.0,33.3,11.3,50,126,
4,Kelli Hayes,16,.000,.000,.500,.000,0.0,9.3,4.0,10.0,0.0,0.0,0.0,5.9,28,135,
6,Japreece Dean,30,.571,.571,.643,.000,3.7,4.9,4.2,15.7,0.0,0.0,6.7,23.6,118,136,
7,Michaela Onyenwere,16,.503,.429,.143,.286,6.9,0.0,4.0,0.0,0.0,0.0,0.0,23.2,117,138,
8,Lauryn Miller,1,,,,,0.0,100.0,63.5,0.0,0.0,0.0,,0.0,,83,
9,Chantel Horvat,0,,,,,,,,,,,,,,,
10,School Totals,200,.477,.418,.284,.299,27.8,59.3,41.3,44.0,5.5,6.7,10.5,100.0,100.0,121.9,
