,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,UCLA ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Monique Billings,39,5,16,.313,5,16,.313,0,0,,2,2,1.000,3,3,6,2,0,1,3,4,12
1,Kennedy Burke,37,4,6,.667,3,4,.750,1,2,.500,3,4,.750,3,0,3,0,0,1,2,4,12
2,Jordin Canada,36,6,18,.333,5,13,.385,1,5,.200,10,12,.833,1,7,8,5,3,1,1,3,23
3,Lajahna Drummer,25,1,4,.250,1,3,.333,0,1,.000,0,0,,1,3,4,1,1,0,2,5,2
4,Kelli Hayes,16,0,2,.000,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0
6,Japreece Dean,30,6,14,.429,2,5,.400,4,9,.444,0,0,,1,1,2,2,0,0,1,3,16
7,Michaela Onyenwere,16,3,7,.429,3,6,.500,0,1,.000,2,2,1.000,1,0,1,0,0,0,0,2,8
8,Lauryn Miller,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
9,Chantel Horvat,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,School Totals,200,25,67,.373,19,48,.396,6,19,.316,17,20,.850,10,16,26,11,4,3,9,22,73
