,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Western Kentucky ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Ivy Brown,38,3,9,.333,1,3,.333,2,6,.333,6,6,1.000,3,2,5,2,0,0,0,4,14
1,Tashia Brown,37,7,21,.333,6,19,.316,1,2,.500,2,4,.500,3,4,7,1,4,1,3,1,17
2,Whitney Creech,28,1,4,.250,0,2,.000,1,2,.500,0,0,,0,3,3,3,2,0,1,2,3
3,Raneem Elgedawy,22,3,9,.333,3,9,.333,0,0,,1,4,.250,0,3,3,0,0,2,2,3,7
4,Sherry Porter,13,0,2,.000,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0
6,Dee Givens,22,4,7,.571,1,1,1.000,3,6,.500,1,2,.500,1,1,2,2,1,0,0,4,12
7,Sidnee Bopp,22,1,6,.167,1,3,.333,0,3,.000,0,0,,0,0,0,1,0,0,0,2,2
8,Terri Smith,13,1,3,.333,0,0,,1,3,.333,0,0,,0,2,2,0,0,0,0,0,3
9,Nichel Tampa,5,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0
10,School Totals,200,20,61,.328,12,39,.308,8,22,.364,10,16,.625,7,18,25,9,7,3,6,18,58
