,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Baylor ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Breanna Wright,37,.286,.286,.714,.000,2.4,3.1,2.7,27.6,0.0,0.0,17.6,23.5,57,150,
1,Sara Williamson,31,.500,.500,.000,.000,2.9,3.7,3.2,20.8,3.8,2.4,20.0,8.3,93,140,
2,Lexie Ducat,25,.250,.250,.500,.000,3.6,0.0,2.0,0.0,0.0,0.0,14.3,14.3,49,152,
3,Dominique Golightly,25,.067,.067,.467,.000,14.2,13.7,14.0,0.0,4.7,0.0,11.8,34.8,20,131,
4,Makayla Mabry,21,.500,.500,1.000,.000,0.0,27.2,11.9,14.5,0.0,0.0,50.0,14.6,51,130,
6,Madi Miller,28,.300,.300,.700,.000,6.3,4.1,5.4,11.8,0.0,0.0,23.1,23.7,53,149,
7,Lexi Kirgan,18,.678,.800,.000,1.000,0.0,6.3,2.8,0.0,0.0,0.0,21.7,26.1,96,147,
8,Alyssa Adams,9,.333,.333,.333,.000,0.0,12.7,5.6,0.0,0.0,0.0,0.0,17.1,70,142,
9,Kayla Galindo,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,153,
10,Kamryn Mraz,2,.000,.000,.000,.000,44.4,0.0,25.0,100.0,0.0,0.0,0.0,25.6,57,153,
11,Josie Larson,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,153,
12,School Totals,200,.300,.295,.508,.082,22.2,37.1,28.8,53.3,5.8,1.9,19.1,100.0,55.1,137.7,
