,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Brigham Young ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Brenna Drollinger,40,7,15,.467,5,7,.714,2,8,.250,3,4,.750,0,4,4,7,1,3,4,2,19
1,Shaylee Gonzales,40,7,17,.412,7,14,.500,0,3,.000,3,5,.600,1,8,9,3,2,0,5,1,17
2,Caitlyn Alldredge,33,6,10,.600,4,7,.571,2,3,.667,0,0,,0,3,3,3,1,0,1,2,14
3,Paisley Harding,29,3,7,.429,2,3,.667,1,4,.250,1,2,.500,0,3,3,1,1,0,3,5,8
4,Sara Hamson,25,2,4,.500,2,4,.500,0,0,,0,0,,3,5,8,1,0,4,2,4,4
6,Shalae Salmon,15,2,2,1.000,2,2,1.000,0,0,,1,4,.250,1,5,6,0,0,0,1,2,5
7,Maria Albiero,10,1,2,.500,1,2,.500,0,0,,4,5,.800,0,2,2,0,2,0,0,0,6
8,Jasmine Moody,8,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0
9,School Totals,200,28,59,.475,23,40,.575,5,19,.263,12,20,.600,5,30,35,15,7,7,16,17,73
