,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,South Carolina ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jenny Roy,39,.707,.750,.000,.500,3.5,4.5,3.9,55.0,0.0,0.0,29.1,10.0,131,127,
1,Darby Maggard,37,.591,.591,.727,.000,0.0,0.0,0.0,8.6,1.7,0.0,21.4,21.4,90,125,
2,Ellie Harmeyer,28,.455,.313,.500,.500,4.9,24.8,13.7,0.0,0.0,0.0,17.0,23.7,85,118,
3,Maddie Wright,25,.222,.222,.222,.000,16.6,7.0,12.3,10.8,2.5,0.0,25.0,27.1,50,120,
4,Maura Muensterman,22,.250,.250,.833,.000,6.3,7.9,7.0,0.0,0.0,4.4,0.0,15.4,63,124,
6,Conley Chinn,18,.559,.563,.375,.250,7.7,29.0,17.1,0.0,0.0,0.0,18.4,34.1,89,116,
7,Jamilyn Kinney,16,.553,.375,.750,.750,0.0,0.0,0.0,16.1,0.0,0.0,15.8,22.3,108,129,
8,Macie Culbertson,8,.000,.000,.000,.000,0.0,0.0,0.0,0.0,7.9,12.2,50.0,14.1,0,108,
9,Maddie Cook,4,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,0,129,
10,Hannah Harmeyer,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,129,
11,School Totals,200,.454,.413,.481,.212,24.1,43.5,32.7,61.1,4.8,4.9,19.7,100.0,82.5,117.5,
