,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,South Carolina ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Te'a Cooper,27,7,12,.583,6,9,.667,1,3,.333,0,0,,1,2,3,0,1,0,4,4,15
1,Doniyah Cliney,27,5,5,1.000,5,5,1.000,0,0,,0,0,,0,4,4,2,2,0,2,1,10
2,Tyasha Harris,25,4,8,.500,2,3,.667,2,5,.400,2,2,1.000,0,2,2,6,1,0,1,2,12
3,Destanni Henderson,25,1,4,.250,0,0,,1,4,.250,0,0,,1,1,2,2,1,0,0,1,3
4,Alexis Jennings,20,4,6,.667,4,6,.667,0,0,,4,5,.800,4,5,9,1,1,2,2,1,12
6,Bianca Jackson,32,4,8,.500,4,6,.667,0,2,.000,0,0,,0,2,2,1,0,1,0,0,8
7,Nelly Perry,11,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3
8,Mikiah Herbert Harrigan,10,2,2,1.000,2,2,1.000,0,0,,1,2,.500,0,2,2,0,0,3,1,1,5
9,Victaria Saxton,9,2,4,.500,2,4,.500,0,0,,0,0,,3,2,5,0,0,0,2,3,4
10,LeLe Grissett,7,0,1,.000,0,1,.000,0,0,,0,2,.000,2,0,2,1,0,0,0,1,0
11,LaDazhia Williams,4,1,2,.500,1,2,.500,0,0,,0,0,,2,2,4,0,0,0,1,1,2
12,Elysa Wesolek,3,0,2,.000,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0
13,School Totals,200,31,56,.554,26,41,.634,5,15,.333,7,11,.636,13,22,35,14,6,6,14,16,74
