,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Oregon State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Taya Corosdale,45,3,7,.429,2,4,.500,1,3,.333,6,8,.750,2,13,15,4,0,4,3,3,13
1,Mikayla Pivec,43,7,18,.389,7,14,.500,0,4,.000,6,8,.750,5,7,12,5,3,0,3,2,20
2,Katie McWilliams,33,1,5,.200,1,4,.250,0,1,.000,2,2,1.000,0,4,4,2,0,0,2,1,4
3,Destiny Slocum,30,3,8,.375,3,7,.429,0,1,.000,2,4,.500,0,4,4,5,1,0,3,3,8
4,Maddie Washington,14,4,5,.800,4,5,.800,0,0,,0,0,,1,2,3,0,0,0,1,3,8
6,Joanna Grymek,30,3,3,1.000,3,3,1.000,0,0,,1,6,.167,1,4,5,0,0,0,1,3,7
7,Aleah Goodman,29,6,9,.667,3,3,1.000,3,6,.500,5,5,1.000,0,1,1,2,1,1,3,3,20
8,Janessa Thropay,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,School Totals,224,27,55,.491,23,40,.575,4,15,.267,22,33,.667,9,35,44,18,5,5,16,18,80
