,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Baylor ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kianna Smith,40,.604,.615,.308,.308,0.0,6.5,3.2,6.3,2.7,1.6,6.3,20.4,115,139,
1,Recee' Caldwell,38,.600,.600,.500,.000,0.0,3.4,1.7,29.7,0.0,0.0,23.1,17.7,102,147,
2,Kristine Anigwe,33,.299,.235,.059,.588,7.6,11.7,9.6,0.0,0.0,3.8,4.5,35.1,66,142,
3,Jaelyn Brown,29,.580,.400,.400,.800,0.0,22.2,10.9,0.0,1.8,0.0,37.2,19.2,74,134,
4,Asha Thomas,29,.700,.700,.400,.000,0.0,4.4,2.2,14.6,0.0,0.0,16.7,10.7,121,147,
6,CJ West,10,.000,.000,.000,.000,12.5,25.8,19.0,0.0,0.0,0.0,66.7,15.5,21,136,
7,McKenzie Forbes,8,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6.5,0,148,
8,Chen Yue,5,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,200,149,
9,Alaysia Styles,4,.606,.500,.500,.500,31.3,0.0,15.9,0.0,0.0,0.0,0.0,31.5,137,148,
10,Mo Mosley,4,.000,.000,.000,.000,0.0,0.0,0.0,0.0,13.3,0.0,50.0,25.9,0,119,
11,School Totals,200,.492,.464,.273,.345,12.5,45.2,28.6,34.8,5.3,4.8,17.9,100.0,84.0,136.0,
