,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Central Florida ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kay Kay Wright,38,8,19,.421,6,15,.400,2,4,.500,0,0,,2,2,4,0,2,0,1,3,18
1,Nyala Shuler,29,0,4,.000,0,2,.000,0,2,.000,0,2,.000,1,5,6,4,2,0,1,4,0
2,Jamesha Paul,17,2,3,.667,2,3,.667,0,0,,4,4,1.000,0,2,2,1,0,0,2,0,8
3,Kayla Thigpen,17,2,8,.250,2,7,.286,0,1,.000,0,0,,1,0,1,0,0,0,0,2,4
4,Tolulope Omokore,13,0,2,.000,0,2,.000,0,0,,1,2,.500,3,0,3,0,2,0,0,0,1
6,Masseny Kaba,23,3,6,.500,3,6,.500,0,0,,2,2,1.000,1,2,3,0,1,0,2,3,8
7,Lawriell Wilson,17,0,4,.000,0,4,.000,0,0,,0,0,,1,1,2,1,1,0,1,0,0
8,Sydnee McDonald,15,0,2,.000,0,0,,0,2,.000,0,0,,0,1,1,0,0,0,1,0,0
9,Brittney Smith,10,1,3,.333,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,2,4,2
10,Diamond Battles,10,1,3,.333,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,0,2
11,Sianni Martin,5,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0
12,Fifi Ndour,4,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,1,1,2
13,School Totals,198,18,56,.321,16,46,.348,2,10,.200,7,10,.700,10,15,25,6,9,0,11,17,45
