,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,South Dakota ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Simone Westbrook,37,.630,.600,.200,.150,0.0,3.1,1.6,11.3,5.9,0.0,12.3,32.0,116,91,
1,Danielle Edwards,37,.735,.735,.529,.000,3.3,21.6,12.7,5.4,1.5,0.0,10.5,25.0,133,92,
2,Tylar Bennett,33,.600,.600,.000,.000,7.3,10.4,8.9,4.4,0.0,0.0,0.0,7.4,142,101,
3,Kobi Thornton,28,.072,.000,.000,.800,4.3,12.2,8.4,4.6,1.9,4.9,0.0,11.7,38,94,
4,Destiny Thomas,14,.000,.000,1.000,.000,8.7,8.2,8.4,9.2,3.9,0.0,0.0,3.5,96,93,
6,Aliyah Collier,25,.459,.406,.375,.188,9.7,9.1,9.4,22.4,6.5,0.0,18.8,41.5,90,86,
7,Chyna Cotton,14,,,,,0.0,16.3,8.4,9.2,0.0,0.0,,0.0,229,98,
8,Keniece Purvis,7,,,,,0.0,16.3,8.4,0.0,0.0,0.0,100.0,6.9,0,98,
9,Camree Clegg,4,.678,.750,.500,1.000,0.0,28.6,14.7,47.6,0.0,0.0,25.8,47.2,114,92,
10,Taylor Hosendove,1,,,,,0.0,100.0,58.8,0.0,0.0,0.0,,0.0,,47,
11,School Totals,200,.551,.538,.318,.182,21.2,62.9,42.6,35.5,13.7,3.4,13.3,100.0,108.2,90.4,
