,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Tiana Mangakahia,35,.490,.450,.150,.150,3.6,21.1,13.1,74.6,8.5,0.0,15.8,39.5,105,60,
1,Miranda Drummond,35,1.000,1.000,.750,.000,3.6,15.0,9.8,0.0,0.0,0.0,20.0,7.8,144,86,
2,Digna Strautmane,34,.429,.429,.571,.000,0.0,18.6,10.1,0.0,1.8,5.3,22.2,14.4,64,77,
3,Gabrielle Cooper,32,.875,.917,.667,.500,0.0,9.9,5.4,6.0,3.7,0.0,0.0,12.5,173,80,
4,Amaya Finklea-Guity,19,.279,.250,.000,.250,13.2,11.1,12.0,0.0,3.1,19.1,0.0,25.5,74,75,
6,Kiara Lewis,20,.306,.000,.000,1.333,0.0,5.3,2.9,15.4,0.0,0.0,0.0,13.0,91,93,
7,Maeva Djaldi-Tabdi,13,.625,.625,.000,.000,9.6,16.2,13.2,0.0,4.6,14.0,11.1,37.8,106,68,
8,Emily Engstler,7,.500,.500,.000,.000,17.9,30.1,24.5,28.2,17.1,0.0,0.0,15.6,135,32,
9,Kadiatou Sissoko,2,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,200,94,
10,Lauren Fitzmaurice,1,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6,0,91,
11,Chelayne Bailey,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,91,
12,Brandi Fowler,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,97,
13,School Totals,200,.533,.508,.233,.200,18.8,73.7,48.6,57.7,17.9,18.2,10.9,100.0,104.5,73.1,
