,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Indiana ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Ali Patberg,38,8,18,.444,8,15,.533,0,3,.000,0,0,,0,3,3,5,1,0,3,2,16
1,Jaelynn Penn,38,6,16,.375,3,8,.375,3,8,.375,0,0,,0,6,6,0,2,1,1,2,15
2,Brenna Wise,32,1,6,.167,0,2,.000,1,4,.250,2,2,1.000,3,3,6,1,1,1,2,2,5
3,Kym Royster,19,3,3,1.000,3,3,1.000,0,0,,2,2,1.000,0,1,1,2,0,0,2,0,8
4,Bendu Yeaney,17,5,7,.714,5,6,.833,0,1,.000,0,0,,0,0,0,0,0,0,2,2,10
6,Grace Berger,22,5,8,.625,5,7,.714,0,1,.000,1,4,.250,0,4,4,1,0,0,1,2,11
7,Linsey Marchese,17,0,1,.000,0,1,.000,0,0,,1,4,.250,1,1,2,0,0,0,0,1,1
8,Aleksa Gulbe,11,0,3,.000,0,3,.000,0,0,,0,0,,0,2,2,0,0,0,0,2,0
9,Keyanna Warthen,6,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2
10,School Totals,200,29,63,.460,25,46,.543,4,17,.235,6,12,.500,4,20,24,9,4,2,11,14,68
