,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Michigan ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Deja Church,32,3,7,.429,2,5,.400,1,2,.500,5,6,.833,2,5,7,7,2,0,3,2,12
1,Nicole Munger,29,5,10,.500,3,6,.500,2,4,.500,1,2,.500,1,2,3,0,3,0,4,3,13
2,Amy Dilk,25,3,8,.375,2,6,.333,1,2,.500,0,1,.000,1,2,3,5,0,0,4,3,7
3,Hallie Thome,19,4,6,.667,4,6,.667,0,0,,0,0,,2,6,8,2,0,0,1,0,8
4,Hailey Brown,18,3,5,.600,3,5,.600,0,0,,0,0,,0,2,2,0,0,1,1,1,6
6,Naz Hillmon,21,8,10,.800,8,10,.800,0,0,,1,2,.500,5,5,10,1,1,0,0,2,17
7,Kayla Robbins,17,6,8,.750,6,8,.750,0,0,,1,1,1.000,3,2,5,2,2,0,2,4,13
8,Akienreh Johnson,16,2,4,.500,1,1,1.000,1,3,.333,0,0,,0,5,5,4,0,0,1,0,5
9,Ariel Young,7,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,2,0,2
10,Emily Kiser,6,0,0,,0,0,,0,0,,1,2,.500,1,2,3,1,0,1,1,2,1
11,Danielle Rauch,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
12,Priscilla Smeenge,3,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0
13,Taylor Rooks,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
14,Samantha Trammel,2,0,1,.000,0,1,.000,0,0,,0,0,,1,1,2,0,1,0,0,0,0
15,School Totals,200,35,63,.556,30,50,.600,5,13,.385,9,14,.643,16,33,49,22,9,2,21,17,84
