,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,NC State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Taylor Murray,38,.286,.286,.143,.000,7.2,7.3,7.2,21.2,3.4,0.0,22.2,12.4,77,119,
1,Rhyne Howard,37,.459,.452,.429,.190,4.9,18.6,10.4,8.1,5.2,0.0,8.1,34.9,96,109,
2,Maci Morris,25,.563,.563,.438,.000,0.0,0.0,0.0,14.8,2.6,0.0,5.9,35.5,113,125,
3,Tatyana Wyatt,25,.389,.389,.222,.000,14.5,5.5,11.0,0.0,5.1,5.5,0.0,18.8,102,114,
4,Amanda Paschal,15,.250,.250,.500,.000,12.1,9.2,11.0,13.8,4.3,0.0,0.0,13.9,87,117,
6,Jaida Roper,27,.420,.300,.800,.400,3.4,0.0,2.0,7.2,0.0,0.0,0.0,11.4,113,131,
7,KeKe McKinney,18,.000,.000,.667,.000,10.1,23.0,15.2,20.2,0.0,7.7,0.0,8.7,61,116,
8,Ogechi Anyagaligbo,9,.000,.000,.000,.000,0.0,30.7,12.2,0.0,0.0,0.0,0.0,11.6,0,114,
9,Blair Green,6,.000,.000,1.000,.000,0.0,23.0,9.1,0.0,0.0,0.0,0.0,17.4,0,116,
10,School Totals,200,.397,.384,.420,.087,31.8,51.7,39.7,45.5,14.3,6.9,6.5,100.0,90.5,114.3,
