,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Kentucky ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Taylor Murray,38,2,7,.286,2,6,.333,0,1,.000,0,0,,3,2,5,4,2,0,2,4,4
1,Rhyne Howard,37,8,21,.381,5,12,.417,3,9,.333,2,4,.500,2,5,7,1,3,0,2,1,21
2,Maci Morris,25,7,16,.438,3,9,.333,4,7,.571,0,0,,0,0,0,1,1,0,1,4,18
3,Tatyana Wyatt,25,3,9,.333,2,7,.286,1,2,.500,0,0,,4,1,5,0,2,1,0,4,7
4,Amanda Paschal,15,1,4,.250,1,2,.500,0,2,.000,0,0,,2,1,3,1,1,0,0,0,2
6,Jaida Roper,27,1,5,.200,0,1,.000,1,4,.250,2,2,1.000,1,0,1,1,0,0,0,2,5
7,KeKe McKinney,18,0,3,.000,0,1,.000,0,2,.000,0,0,,2,3,5,2,0,1,0,1,0
8,Ogechi Anyagaligbo,9,0,2,.000,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0
9,Blair Green,6,0,2,.000,0,0,,0,2,.000,0,0,,0,1,1,0,0,0,0,2,0
10,School Totals,200,22,69,.319,13,40,.325,9,29,.310,4,6,.667,14,15,29,10,9,2,5,19,57
