,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Louisville ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,AD Durr,36,9,23,.391,4,9,.444,5,14,.357,1,1,1.000,0,2,2,5,3,2,1,2,24
1,Jazmine Jones,29,7,12,.583,7,11,.636,0,1,.000,1,2,.500,2,2,4,4,2,0,0,1,15
2,Sam Fuehring,28,4,5,.800,3,4,.750,1,1,1.000,1,1,1.000,0,2,2,1,2,0,2,2,10
3,Arica Carter,28,1,8,.125,1,4,.250,0,4,.000,0,0,,4,3,7,3,3,0,2,2,2
4,Kylee Shook,27,4,7,.571,4,6,.667,0,1,.000,0,0,,4,6,10,0,0,2,1,1,8
6,Dana Evans,21,4,10,.400,2,5,.400,2,5,.400,0,0,,1,2,3,3,0,0,1,0,10
7,Bionca Dunham,21,1,4,.250,1,4,.250,0,0,,0,0,,2,3,5,0,1,1,3,2,2
8,Lindsey Duvall,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
9,Jessica Laemmle,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Seygan Robins,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
11,Mykasa Robinson,2,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,School Totals,198,30,70,.429,22,44,.500,8,26,.308,3,4,.750,13,20,33,16,11,5,11,11,71
