,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Missouri State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Danielle Gitzen,32,7,15,.467,5,12,.417,2,3,.667,4,8,.500,3,5,8,6,0,1,0,1,20
1,Brice Calip,30,2,6,.333,2,4,.500,0,2,.000,8,9,.889,1,4,5,3,1,0,4,1,12
2,Alexa Willard,28,9,17,.529,7,12,.583,2,5,.400,0,0,,2,2,4,2,0,0,2,0,20
3,Abby Hipp,22,4,5,.800,3,4,.750,1,1,1.000,0,0,,1,1,2,1,1,0,2,1,9
4,Jasmine Franklin,22,2,4,.500,2,4,.500,0,0,,0,0,,1,5,6,0,2,0,1,4,4
6,Elle Ruffridge,24,5,7,.714,2,2,1.000,3,5,.600,2,2,1.000,0,0,0,1,1,0,5,1,15
7,Sydney Wilson,19,0,1,.000,0,1,.000,0,0,,0,0,,0,6,6,2,0,0,0,0,0
8,Sydney Manning,11,2,3,.667,0,0,,2,3,.667,0,0,,0,1,1,0,0,0,1,1,6
9,Mya Bhinhar,7,1,1,1.000,0,0,,1,1,1.000,0,0,,0,2,2,2,1,0,2,2,3
10,Emily Gartner,5,0,2,.000,0,2,.000,0,0,,0,0,,2,1,3,1,0,0,1,1,0
11,School Totals,200,32,61,.525,21,41,.512,11,20,.550,14,19,.737,10,27,37,18,6,1,18,12,89
