,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Stanford ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kiana Williams,38,3,17,.176,3,6,.500,0,11,.000,3,4,.750,0,5,5,2,5,0,0,1,9
1,DiJonai Carrington,27,2,11,.182,2,8,.250,0,3,.000,2,4,.500,3,2,5,0,2,0,4,4,6
2,Alanna Smith,25,3,7,.429,3,6,.500,0,1,.000,7,10,.700,1,5,6,2,0,1,1,4,13
3,Maya Dodson,22,0,4,.000,0,4,.000,0,0,,2,2,1.000,3,4,7,0,2,3,2,1,2
4,Lacie Hull,21,0,2,.000,0,0,,0,2,.000,0,0,,0,4,4,1,0,0,2,1,0
6,Lexie Hull,22,2,10,.200,1,6,.167,1,4,.250,2,2,1.000,3,6,9,2,0,0,1,1,7
7,Anna Wilson,21,4,7,.571,3,4,.750,1,3,.333,2,2,1.000,0,2,2,0,0,0,0,3,11
8,Shannon Coffee,17,3,7,.429,2,4,.500,1,3,.333,0,0,,3,3,6,1,0,2,1,4,7
9,Alyssa Jerome,7,0,3,.000,0,1,.000,0,2,.000,0,0,,3,2,5,0,0,0,1,0,0
10,Mikaela Brewer,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Jenna Brown,0,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
12,Estella Moschkau,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
13,School Totals,200,17,68,.250,14,39,.359,3,29,.103,18,24,.750,16,34,50,8,9,6,12,19,55
