,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Iowa ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Aislinn Konig,40,.714,.714,.571,.000,0.0,5.0,1.5,25.0,0.0,0.0,12.5,9.3,140,120,
1,Kai Crutchfield,40,.214,.214,.571,.000,2.2,5.0,3.1,8.7,0.0,0.0,12.5,9.3,59,120,
2,Kiara Leslie,39,.365,.325,.200,.200,13.7,20.5,15.8,11.5,2.9,0.0,8.4,28.4,88,113,
3,DD Rogers,34,.502,.455,.000,.182,7.8,17.6,10.9,13.0,6.6,0.0,7.8,17.7,112,105,
4,Elissa Cunane,32,.343,.316,.105,.158,11.1,43.8,21.2,0.0,1.7,9.4,12.9,34.0,73,104,
6,Kayla Jones,13,.377,.286,.571,.286,6.8,30.8,14.2,0.0,0.0,0.0,20.2,35.4,71,119,
7,Jada Rice,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,121,
8,Esra McGoldrick,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,121,
9,Katie Wadsworth,0,,,,,,,,,,,,,,,
10,School Totals,200,.400,.366,.254,.155,33.3,90.0,50.8,45.8,9.7,7.5,11.6,100.0,84.7,109.7,
