,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Iowa ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Megan Gustafson,35,10,14,.714,10,14,.714,0,0,,7,7,1.000,1,12,13,4,1,1,2,4,27
1,Kathleen Doyle,35,4,9,.444,3,5,.600,1,4,.250,0,0,,1,3,4,8,3,0,2,4,9
2,Tania Davis,34,4,11,.364,2,5,.400,2,6,.333,0,0,,0,2,2,6,0,0,1,0,10
3,Makenzie Meyer,34,2,6,.333,0,0,,2,6,.333,3,4,.750,0,0,0,4,0,0,3,0,9
4,Hannah Stewart,31,8,14,.571,8,14,.571,0,0,,0,0,,0,11,11,2,1,1,1,2,16
6,Alexis Sevillian,15,2,3,.667,0,1,.000,2,2,1.000,0,0,,0,2,2,0,0,0,1,0,6
7,Amanda Ollinger,8,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,2,0,1,2,2
8,Monika Czinano,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
9,Tomi Taiwo,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Zion Sanders,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Paula Valino Ramos,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,School Totals,200,31,58,.534,24,40,.600,7,18,.389,10,11,.909,2,30,32,24,7,2,11,13,79
