,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,California ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Shayla Bennett,40,.471,.458,.250,.500,2.8,8.0,4.9,31.8,1.4,0.0,12.0,21.8,102,135,
1,Paris Kea,39,.513,.475,.350,.150,2.8,4.1,3.4,16.4,0.0,0.0,8.6,31.4,98,140,
2,Janelle Bailey,36,.500,.500,.067,.000,0.0,13.3,5.5,0.0,4.6,0.0,6.3,23.3,87,126,
3,Taylor Koenen,36,.571,.500,.222,.556,3.1,26.7,12.8,14.8,6.1,6.0,8.2,17.8,117,115,
4,Jocelyn Jones,23,.250,.250,.000,.000,0.0,13.9,5.7,13.8,0.0,0.0,0.0,9.1,72,137,
6,Leah Church,17,1.500,1.500,1.000,.000,0.0,9.4,3.9,0.0,0.0,0.0,0.0,6.2,300,138,
7,Jaelynn Murray,8,.000,.000,.000,.000,13.9,0.0,8.2,18.5,0.0,0.0,50.0,13.1,55,141,
8,Naomi Van Nes,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,141,
9,School Totals,200,.517,.492,.238,.222,11.1,60.0,31.1,59.3,11.0,5.4,9.1,100.0,98.6,126.0,
