,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Louisville ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Sam Fuehring,39,7,12,.583,4,8,.500,3,4,.750,0,0,,2,7,9,2,0,0,0,2,17
1,AD Durr,38,5,12,.417,5,8,.625,0,4,.000,7,9,.778,0,8,8,4,0,1,2,1,17
2,Jazmine Jones,26,3,7,.429,3,7,.429,0,0,,0,0,,0,1,1,2,0,0,1,5,6
3,Kylee Shook,24,2,5,.400,1,4,.250,1,1,1.000,0,0,,1,5,6,1,0,1,0,2,5
4,Arica Carter,21,2,6,.333,0,1,.000,2,5,.400,0,0,,0,2,2,4,0,0,0,1,6
6,Dana Evans,29,3,10,.300,2,7,.286,1,3,.333,0,0,,0,2,2,1,3,0,0,4,7
7,Bionca Dunham,16,1,5,.200,1,5,.200,0,0,,0,0,,0,1,1,0,1,0,0,1,2
8,Mykasa Robinson,4,0,0,,0,0,,0,0,,1,2,.500,1,2,3,0,0,0,0,0,1
9,Seygan Robins,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Lindsey Duvall,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Jessica Laemmle,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,School Totals,200,23,57,.404,16,40,.400,7,17,.412,8,11,.727,4,28,32,14,4,2,3,16,61
