,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Portland State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Ashley Bolston,38,5,11,.455,0,2,.000,5,9,.556,4,4,1.000,0,3,3,2,1,1,3,0,19
1,Kylie Jimenez,38,2,9,.222,0,1,.000,2,8,.250,1,3,.333,0,2,2,4,2,0,2,0,7
2,Courtney West,29,1,4,.250,1,4,.250,0,0,,3,4,.750,3,1,4,0,0,0,4,3,5
3,Sidney Rielly,23,1,5,.200,1,3,.333,0,2,.000,0,0,,0,0,0,1,1,0,3,3,2
4,Jordan Stotler,20,0,6,.000,0,4,.000,0,2,.000,0,0,,0,2,2,2,0,1,1,1,0
6,Desirae Hansen,28,1,8,.125,0,2,.000,1,6,.167,0,0,,1,4,5,0,0,0,2,2,3
7,Ana Tainta,14,1,4,.250,1,3,.333,0,1,.000,0,0,,2,0,2,0,1,0,2,2,2
8,Pia Jurhar,9,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,0,2
9,Labrea Denson,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,School Totals,200,12,49,.245,4,21,.190,8,28,.286,8,11,.727,6,13,19,10,5,2,17,11,40
