,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Madison Guebert,36,.408,.385,.462,.077,0.0,5.7,3.0,5.7,0.0,0.0,13.0,20.3,87,103,
1,Tylee Irwin,34,.402,.333,.333,.222,10.1,9.0,9.5,11.5,3.3,2.4,0.0,13.7,120,92,
2,Macy Miller,33,.591,.500,.278,.667,13.9,21.8,18.0,15.6,1.7,0.0,20.5,42.0,111,91,
3,Myah Selland,33,.603,.500,.333,1.000,10.4,18.6,14.7,25.3,0.0,2.5,13.4,21.4,133,95,
4,Tagyn Larson,30,.417,.417,.333,.000,7.6,17.1,12.6,12.5,0.0,0.0,25.0,12.6,88,97,
6,Rylie Cascio Jensen,13,,,,,8.8,7.9,8.3,38.5,0.0,0.0,100.0,3.6,106,102,
7,Paiton Burckhard,11,1.000,1.000,.000,.000,0.0,18.6,9.8,0.0,0.0,0.0,20.0,21.5,133,96,
8,Sydney Palmer,6,.000,.000,.000,.000,19.0,34.2,27.0,0.0,0.0,0.0,0.0,7.9,59,89,
9,Lindsey Theuninck,4,,,,,0.0,25.6,13.5,0.0,0.0,0.0,,0.0,,94,
10,Addison Hirschman,0,,,,,,,,,,,,,,,
11,Megan Bultsma,0,,,,,,,,,,,,,,,
12,Jordan Ferrand,0,,,,,,,,,,,,,,,
13,Sydney Stapleton,0,,,,,,,,,,,,,,,
14,School Totals,200,.532,.467,.317,.400,40.0,74.4,58.1,58.3,4.2,4.1,16.4,100.0,107.0,91.5,
