,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Taylor Mikesell,33,.615,.615,.769,.000,3.4,5.3,4.4,30.7,0.0,0.0,7.1,20.5,124,83,
1,Blair Watson,29,.500,.500,.800,.000,7.7,15.0,11.8,9.8,3.7,0.0,16.7,10.0,104,68,
2,Stephanie Jones,28,.750,.750,.000,.000,0.0,18.6,10.5,6.4,1.9,3.5,0.0,13.8,147,68,
3,Kaila Charles,27,.438,.438,.000,.000,8.2,22.5,16.3,28.7,0.0,3.6,11.1,32.2,91,71,
4,Shakira Austin,27,.466,.500,.000,1.000,8.2,22.5,16.3,5.9,7.9,3.6,20.7,26.0,82,52,
6,Channise Lewis,27,.336,.200,.200,.400,0.0,6.4,3.6,35.1,5.9,0.0,14.5,12.3,100,69,
7,Sara Vujacic,11,.000,.000,.000,.000,0.0,23.7,13.3,0.0,4.8,0.0,50.0,8.8,0,62,
8,Brianna Fraser,9,.822,.800,.000,.200,0.0,19.3,10.8,33.6,0.0,0.0,26.9,39.9,107,74,
9,Olivia Owens,5,.250,.250,.000,.000,0.0,34.8,19.5,0.0,0.0,0.0,20.0,48.3,40,62,
10,Sarah Myers,4,.000,.000,.000,.000,27.8,0.0,12.2,0.0,0.0,24.4,0.0,12.1,60,72,
11,School Totals,200,.512,.508,.227,.167,22.2,78.3,53.7,71.0,14.7,9.8,14.4,100.0,97.3,68.0,
