,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Marquette ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Erica Ogwumike,42,.584,.563,.313,.375,7.7,15.3,12.2,0.0,1.5,0.0,30.0,35.8,77,83,
1,Jasmine Smith,40,.300,.300,.200,.000,0.0,5.4,3.2,30.9,1.5,2.5,16.7,8.5,84,89,
2,Nicole Iademarco,39,.333,.333,.333,.000,12.4,8.2,9.9,15.8,0.0,0.0,25.0,5.8,94,91,
3,Nancy Mulkey,37,.375,.375,.000,.000,0.0,26.1,15.6,50.4,3.3,13.5,7.7,39.7,77,66,
4,Sydne Wiggins,35,.625,.625,.500,.000,0.0,18.4,11.0,12.6,3.5,0.0,55.6,14.5,53,77,
6,Shani Rainey,18,.400,.400,.200,.000,0.0,11.9,7.1,27.8,6.8,0.0,0.0,15.7,93,73,
7,Lauren Grigsby,11,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.3,0,97,
8,Alexah Chrisman,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.8,0,97,
9,School Totals,225,.444,.431,.190,.103,17.9,66.7,47.1,78.3,10.8,13.3,23.8,100.0,73.0,78.4,
