,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Chloe Jackson,39,.429,.429,.000,.000,3.3,12.4,8.5,9.9,2.5,0.0,12.5,17.1,99,92,
1,DiDi Richards,36,.810,.786,.000,.214,10.7,8.1,9.2,17.8,1.4,2.5,20.7,22.4,136,95,
2,Juicy Landrum,34,.678,.667,.167,1.000,0.0,11.4,6.5,10.9,1.5,0.0,25.8,14.3,112,95,
3,Lauren Cox,32,.618,.500,.222,1.111,16.0,30.3,24.2,23.3,1.6,14.1,18.3,21.3,131,78,
4,Kalani Brown,31,.440,.450,.000,.050,16.6,18.8,17.8,15.1,0.0,5.8,4.7,28.8,113,91,
6,NaLyssa Smith,9,.250,.250,.000,.000,0.0,10.8,6.1,13.6,5.5,0.0,0.0,18.5,84,85,
7,Queen Egbo,6,.508,.500,.000,1.000,0.0,32.4,18.4,0.0,8.3,15.1,25.8,26.9,81,61,
8,Moon Ursin,6,.513,.000,1.000,2.000,42.8,16.2,27.6,0.0,0.0,0.0,0.0,13.1,163,96,
9,Aquira DeCosta,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,103,
10,Honesty Scott-Grayson,1,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,49.7,0.0,0.0,41.6,200,-12,
11,Caitlin Bickle,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,103,
12,Trinity Oliver,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,103,
13,School Totals,199,.564,.528,.056,.338,45.2,78.0,63.9,54.1,10.0,20.5,14.5,100.0,116.3,85.0,
