,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Oregon ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Macy Miller,37,.471,.361,.278,.500,4.9,20.9,11.5,16.0,1.6,0.0,4.4,30.0,106,98,
1,Myah Selland,35,.362,.382,.235,.118,0.0,18.4,7.6,34.8,1.7,3.0,5.3,26.0,81,96,
2,Madison Guebert,35,.167,.167,.778,.000,2.6,11.1,6.1,6.1,0.0,0.0,0.0,12.4,48,104,
3,Tagyn Larson,32,.222,.222,.111,.000,5.7,16.1,10.0,0.0,0.0,0.0,0.0,13.6,59,103,
4,Tylee Irwin,21,.318,.318,.364,.000,8.7,12.3,10.2,13.3,0.0,5.0,0.0,25.3,80,99,
6,Rylie Cascio Jensen,19,.500,.500,1.000,.000,4.8,6.8,5.6,23.5,6.2,0.0,25.0,10.2,94,90,
7,Paiton Burckhard,12,.125,.125,.000,.000,22.7,43.0,31.1,0.0,0.0,0.0,0.0,32.2,44,96,
8,Sydney Palmer,7,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,107,
9,Lindsey Theuninck,2,,,,,45.5,0.0,26.7,0.0,0.0,0.0,,0.0,220,107,
10,School Totals,200,.330,.300,.320,.147,27.3,80.6,49.3,50.0,6.0,5.3,3.6,100.0,79.1,94.0,
