,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Oregon ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Sabrina Ionescu,40,8,14,.571,7,10,.700,1,4,.250,0,1,.000,1,6,7,11,1,0,2,2,17
1,Satou Sabally,37,6,14,.429,5,8,.625,1,6,.167,1,2,.500,1,8,9,3,0,3,0,2,14
2,Maite Cazorla,37,2,6,.333,0,1,.000,2,5,.400,0,0,,0,0,0,0,0,0,2,2,6
3,Ruthy Hebard,32,8,15,.533,8,15,.533,0,0,,8,9,.889,3,11,14,0,0,4,0,1,24
4,Erin Boley,17,0,7,.000,0,2,.000,0,5,.000,0,0,,0,2,2,0,0,0,0,3,0
6,Oti Gildon,22,1,1,1.000,1,1,1.000,0,0,,0,2,.000,1,2,3,0,1,0,0,0,2
7,Lydia Giomi,7,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,0,0
8,Morgan Yaeger,6,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0
9,School Totals,198,25,58,.431,21,38,.553,4,20,.200,9,14,.643,6,32,38,14,2,7,5,11,63
