,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Notre Dame ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kayla Wells,40,.724,.682,.273,.273,0.0,0.0,0.0,0.0,0.0,0.0,7.5,16.6,137,131,
1,Shambria Washington,40,.279,.250,.250,.250,0.0,3.4,1.5,13.3,4.1,0.0,18.4,13.5,67,121,
2,Chennedy Carter,37,.501,.485,.353,.059,0.0,14.9,6.6,12.0,1.5,0.0,7.9,50.9,98,123,
3,Ciera Johnson,37,.593,.571,.000,.429,11.7,29.8,19.7,3.9,1.5,5.5,10.7,12.5,129,115,
4,N'dea Jones,31,.571,.571,.000,.000,7.0,22.2,13.7,14.4,0.0,2.2,0.0,11.2,139,123,
6,Aja Ellison,12,1.000,1.000,.000,.000,9.0,11.5,10.1,0.0,0.0,0.0,0.0,8.3,204,127,
7,Jada Walton,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,131,
8,School Totals,200,.542,.522,.246,.145,18.9,65.5,39.4,31.3,6.8,6.8,8.7,100.0,109.6,119.2,
