,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Connecticut ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kionna Jeter,37,.364,.370,.556,.037,7.4,8.3,7.7,15.1,9.6,0.0,0.0,31.6,96,131,
1,Qierra Murray,36,.389,.389,.222,.000,2.5,12.8,6.3,28.2,1.4,0.0,30.8,15.4,75,149,
2,Nukiya Mayo,29,.287,.231,.385,.154,12.5,10.6,11.8,6.8,0.0,10.1,6.7,21.9,80,147,
3,Ryan Holder,20,.769,1.000,.000,2.000,4.5,7.7,5.7,0.0,0.0,4.9,51.5,8.3,70,151,
4,Maia Lee,17,.500,.500,.000,.000,16.0,9.0,13.4,0.0,0.0,5.7,14.3,17.6,99,150,
6,Janeen Camp,17,.580,.600,.000,.800,10.7,54.3,26.9,0.0,0.0,0.0,30.7,24.5,83,144,
7,Danielle Durjan,16,.336,.200,.800,.400,5.7,19.2,10.7,36.6,0.0,0.0,25.4,21.0,78,151,
8,Aislinn Flynn,14,.250,.250,.250,.000,13.0,0.0,8.2,14.2,0.0,0.0,33.3,18.3,53,155,
9,Tess Borgosz,5,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,155,
10,Shavonne Smith,4,.750,.750,.500,.000,0.0,38.5,14.3,0.0,0.0,0.0,0.0,21.3,151,148,
11,Jennifer Davis,2,,,,,0.0,0.0,0.0,87.0,0.0,0.0,100.0,21.3,34,154,
12,Cydney Rivera,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,155,
13,Mariah Gray,1,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.6,0,155,
14,School Totals,200,.390,.370,.397,.151,38.6,69.2,50.0,56.5,10.1,12.2,17.0,100.0,77.2,139.2,
