,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Arizona ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Sam Thomas,38,2,4,.500,0,0,,2,4,.500,6,8,.750,1,4,5,0,1,1,0,3,12
1,Aari McDonald,37,7,17,.412,3,8,.375,4,9,.444,8,11,.727,1,6,7,0,2,0,2,2,26
2,Bendu Yeaney,35,3,7,.429,3,5,.600,0,2,.000,2,2,1.000,0,4,4,4,1,0,2,3,8
3,Trinity Baptiste,28,3,6,.500,2,4,.500,1,2,.500,0,0,,0,6,6,1,0,1,2,5,7
4,Cate Reese,18,3,8,.375,3,7,.429,0,1,.000,5,7,.714,0,1,1,0,3,0,3,4,11
6,Helena Pueyo,26,1,4,.250,1,3,.333,0,1,.000,0,0,,1,7,8,1,0,0,0,0,2
7,Lauren Ware,12,0,1,.000,0,1,.000,0,0,,1,2,.500,0,1,1,1,1,1,3,4,1
8,Shaina Pellington,7,1,3,.333,1,3,.333,0,0,,0,1,.000,0,2,2,3,0,0,0,0,2
9,School Totals,201,20,50,.400,13,31,.419,7,19,.368,22,31,.710,3,31,34,10,8,3,12,21,69
